**************************************************
START LOG TRACE: 14/10/2021 06:28:37.783
**************************************************

14/10/2021 06:28:37.799: Start update interface for slab 148109.

14/10/2021 06:28:38.485: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_162|    0|    0|    0|-1933.56| 2380.90|    0.00|  499.80|  174.93|-1933.56| 2380.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611662|
|                                       OFF00090787|                                   _SP00019867_163|    0|    0|    0|-1397.56| 2380.90|    0.00|  499.80|  174.93|-1397.56| 2380.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611663|
|                                       OFF00090787|                                   _SP00019867_164|    0|    0|    0|-1397.56| 2201.90|    0.00|  499.80|  174.93|-1397.56| 2201.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611664|
|                                       OFF00090787|                                   _SP00019867_165|    0|    0|    0|-1397.56| 2022.90|    0.00|  499.80|  174.93|-1397.56| 2022.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611665|
|                                       OFF00090787|                                   _SP00019867_166|    0|    0|    0|-1397.56| 1843.90|    0.00|  499.80|  174.93|-1397.56| 1843.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611666|
|                                       OFF00090787|                                   _SP00019867_167|    0|    0|    0|-1397.56| 1664.90|    0.00|  499.80|  174.93|-1397.56| 1664.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611667|
|                                       OFF00090787|                                   _SP00019867_168|    0|    0|    0|-1397.56| 1485.90|    0.00|  499.80|  174.93|-1397.56| 1485.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611668|
|                                       OFF00090787|                                   _SP00019867_169|    0|    0|    0|-1397.56| 1306.90|    0.00|  499.80|  174.93|-1397.56| 1306.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611669|
|                                       OFF00090787|                                   _SP00019867_170|    0|    0|    0| -861.56| 2380.90|    0.00|  499.80|  174.93| -861.56| 2380.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611670|
|                                       OFF00090787|                                   _SP00019867_171|    0|    0|    0| -861.56| 2201.90|    0.00|  499.80|  174.93| -861.56| 2201.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611671|
|                                       OFF00090787|                                   _SP00019867_172|    0|    0|    0| -861.56| 2022.90|    0.00|  499.80|  174.93| -861.56| 2022.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611672|
|                                       OFF00090787|                                   _SP00019867_173|    0|    0|    0| -861.56| 1843.90|    0.00|  499.80|  174.93| -861.56| 1843.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611673|
|                                       OFF00090787|                                   _SP00019867_174|    0|    0|    0| -861.56| 1664.90|    0.00|  499.80|  174.93| -861.56| 1664.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611674|
|                                       OFF00090787|                                   _SP00019867_175|    0|    0|    0| -861.56| 1485.90|    0.00|  499.80|  174.93| -861.56| 1485.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611675|
|                                       OFF00090787|                                   _SP00019867_176|    0|    0|    0| -861.56| 1306.90|    0.00|  499.80|  174.93| -861.56| 1306.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611676|
|                                       OFF00090787|                                   _SP00019867_187|    0|    0|    0| -861.56| 1127.90|    0.00|  499.80|  174.93| -861.56| 1127.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611677|
|                                       OFF00090787|                                   _SP00019867_186|    0|    0|    0|-1397.56| 1127.90|    0.00|  499.80|  174.93|-1397.56| 1127.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611678|
|                                       OFF00090787|                                   _SP00019867_185|    0|    0|    0| -861.56|  948.90|    0.00|  499.80|  174.93| -861.56|  948.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611679|
|                                       OFF00090787|                                   _SP00019867_184|    0|    0|    0|-1397.56|  948.90|    0.00|  499.80|  174.93|-1397.56|  948.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611680|


14/10/2021 07:01:46.564: End update interface for slab 148110.
**************************************************
END LOG TRACE: 14/10/2021 07:01:46.564
**************************************************
**************************************************
START LOG TRACE: 14/10/2021 07:38:50.201
**************************************************

14/10/2021 07:38:50.201: Start update interface for slab 148111.

14/10/2021 07:38:50.731: 
